branch,v10_06_00_01p01,v10_06_00_04p04,n_files_present
metadata/metatree/key,1,1,2
metadata/metatree/value,1,1,2
recTree/rec.crt_hits..length,1,1,2
recTree/rec.crt_hits.pe,1,1,2
recTree/rec.crt_hits.plane,1,1,2
recTree/rec.crt_hits.position.x,1,1,2
recTree/rec.crt_hits.position.y,1,1,2
recTree/rec.crt_hits.position.z,1,1,2
recTree/rec.crt_hits.position_err.x,1,1,2
recTree/rec.crt_hits.position_err.y,1,1,2
recTree/rec.crt_hits.position_err.z,1,1,2
recTree/rec.crt_hits.t0,1,1,2
recTree/rec.crt_hits.t1,1,1,2
recTree/rec.crt_hits.time,1,1,2
recTree/rec.crt_spacepoints..length,1,1,2
recTree/rec.crt_spacepoints.complete,1,1,2
recTree/rec.crt_spacepoints.pe,1,1,2
recTree/rec.crt_spacepoints.position.x,1,1,2
recTree/rec.crt_spacepoints.position.y,1,1,2
recTree/rec.crt_spacepoints.position.z,1,1,2
recTree/rec.crt_spacepoints.position_err.x,1,1,2
recTree/rec.crt_spacepoints.position_err.y,1,1,2
recTree/rec.crt_spacepoints.position_err.z,1,1,2
recTree/rec.crt_spacepoints.time,1,1,2
recTree/rec.crt_spacepoints.time_err,1,1,2
recTree/rec.crt_tracks..length,1,1,2
recTree/rec.crt_tracks.hita.pe,1,1,2
recTree/rec.crt_tracks.hita.plane,1,1,2
recTree/rec.crt_tracks.hita.position.x,1,1,2
recTree/rec.crt_tracks.hita.position.y,1,1,2
recTree/rec.crt_tracks.hita.position.z,1,1,2
recTree/rec.crt_tracks.hita.position_err.x,1,1,2
recTree/rec.crt_tracks.hita.position_err.y,1,1,2
recTree/rec.crt_tracks.hita.position_err.z,1,1,2
recTree/rec.crt_tracks.hita.t0,1,1,2
recTree/rec.crt_tracks.hita.t1,1,1,2
recTree/rec.crt_tracks.hita.time,1,1,2
recTree/rec.crt_tracks.hitb.pe,1,1,2
recTree/rec.crt_tracks.hitb.plane,1,1,2
recTree/rec.crt_tracks.hitb.position.x,1,1,2
recTree/rec.crt_tracks.hitb.position.y,1,1,2
recTree/rec.crt_tracks.hitb.position.z,1,1,2
recTree/rec.crt_tracks.hitb.position_err.x,1,1,2
recTree/rec.crt_tracks.hitb.position_err.y,1,1,2
recTree/rec.crt_tracks.hitb.position_err.z,1,1,2
recTree/rec.crt_tracks.hitb.t0,1,1,2
recTree/rec.crt_tracks.hitb.t1,1,1,2
recTree/rec.crt_tracks.hitb.time,1,1,2
recTree/rec.crt_tracks.time,1,1,2
recTree/rec.crtpmt_matches..length,1,1,2
recTree/rec.crtpmt_matches.firstOpHitPeakTime,1,1,2
recTree/rec.crtpmt_matches.firstOpHitStartTime,1,1,2
recTree/rec.crtpmt_matches.flashClassification,1,1,2
recTree/rec.crtpmt_matches.flashGateTime,1,1,2
recTree/rec.crtpmt_matches.flashID,1,1,2
recTree/rec.crtpmt_matches.flashInBeam,1,1,2
recTree/rec.crtpmt_matches.flashInGate,1,1,2
recTree/rec.crtpmt_matches.flashPE,1,1,2
recTree/rec.crtpmt_matches.flashPosition.x,1,1,2
recTree/rec.crtpmt_matches.flashPosition.y,1,1,2
recTree/rec.crtpmt_matches.flashPosition.z,1,1,2
recTree/rec.crtpmt_matches.flashTime_us,1,1,2
recTree/rec.crtpmt_matches.flashYWidth,1,1,2
recTree/rec.crtpmt_matches.flashZWidth,1,1,2
recTree/rec.crtpmt_matches.matchedCRTHits..idx,1,1,2
