group,stage1_label,caf_label,caf_prefix
v10,v10_06_00_01p01,v10_06_00_01p01,key
v10,v10_06_00_01p01,v10_06_00_01p01,rec
v10,v10_06_00_01p01,v10_06_00_01p01,value
v10,v10_06_00_01p01,v10_06_00_04p04,GENIEEntry
v10,v10_06_00_01p01,v10_06_00_04p04,GenieEvtRec
v10,v10_06_00_01p01,v10_06_00_04p04,SourceFileHash
v10,v10_06_00_01p01,v10_06_00_04p04,global
v10,v10_06_00_01p01,v10_06_00_04p04,key
v10,v10_06_00_01p01,v10_06_00_04p04,rec
v10,v10_06_00_01p01,v10_06_00_04p04,value
v10,v10_06_00_01p01,v10_06_00_04p04,wgts
v10,v10_06_00_01p01,v10_06_00_04p04,wgts/wgts
v10,v10_06_00_04p04,v10_06_00_01p01,key
v10,v10_06_00_04p04,v10_06_00_01p01,rec
v10,v10_06_00_04p04,v10_06_00_01p01,value
v10,v10_06_00_04p04,v10_06_00_04p04,GENIEEntry
v10,v10_06_00_04p04,v10_06_00_04p04,GenieEvtRec
v10,v10_06_00_04p04,v10_06_00_04p04,SourceFileHash
v10,v10_06_00_04p04,v10_06_00_04p04,global
v10,v10_06_00_04p04,v10_06_00_04p04,key
v10,v10_06_00_04p04,v10_06_00_04p04,rec
v10,v10_06_00_04p04,v10_06_00_04p04,value
v10,v10_06_00_04p04,v10_06_00_04p04,wgts
v10,v10_06_00_04p04,v10_06_00_04p04,wgts/wgts
