group,stage1_label,caf_label,stage1_product_only,stage1_tokens
v10,v10_06_00_01p01,v10_06_00_01p01,1anab::FeatureVectorrecob::Hitvoidart::Assns_NGMultiSliceCryoE,"1anab, Assns, FeatureVectorrecob, Hitvoidart, NGMultiSliceCryoE"
v10,v10_06_00_01p01,v10_06_00_01p01,1anab::FeatureVectorrecob::Hitvoidart::Assns_NGMultiSliceCryoE_filter_MCstage1./1anab::FeatureVectorrecob::Hitvoidart::Assns_NGMultiSliceCryoE,"1anab, Assns, FeatureVectorrecob, Hitvoidart, MCstage1, NGMultiSliceCryoE, filter"
v10,v10_06_00_01p01,v10_06_00_01p01,1anab::FeatureVectorrecob::Hitvoidart::Assns_NGMultiSliceCryoW,"1anab, Assns, FeatureVectorrecob, Hitvoidart, NGMultiSliceCryoW"
v10,v10_06_00_01p01,v10_06_00_01p01,1anab::FeatureVectorrecob::Hitvoidart::Assns_NGMultiSliceCryoW_filter_MCstage1./1anab::FeatureVectorrecob::Hitvoidart::Assns_NGMultiSliceCryoW,"1anab, Assns, FeatureVectorrecob, Hitvoidart, MCstage1, NGMultiSliceCryoW, filter"
v10,v10_06_00_01p01,v10_06_00_01p01,1anab::FeatureVectorrecob::Hitvoidart::Assns_ngfilteredhitsCryoE,"1anab, Assns, FeatureVectorrecob, Hitvoidart, ngfilteredhitsCryoE"
v10,v10_06_00_01p01,v10_06_00_01p01,1anab::FeatureVectorrecob::Hitvoidart::Assns_ngfilteredhitsCryoE_filter_MCstage1./1anab::FeatureVectorrecob::Hitvoidart::Assns_ngfilteredhitsCryoE,"1anab, Assns, FeatureVectorrecob, Hitvoidart, MCstage1, filter, ngfilteredhitsCryoE"
v10,v10_06_00_01p01,v10_06_00_01p01,1anab::FeatureVectorrecob::Hitvoidart::Assns_ngfilteredhitsCryoW,"1anab, Assns, FeatureVectorrecob, Hitvoidart, ngfilteredhitsCryoW"
v10,v10_06_00_01p01,v10_06_00_01p01,1anab::FeatureVectorrecob::Hitvoidart::Assns_ngfilteredhitsCryoW_filter_MCstage1./1anab::FeatureVectorrecob::Hitvoidart::Assns_ngfilteredhitsCryoW,"1anab, Assns, FeatureVectorrecob, Hitvoidart, MCstage1, filter, ngfilteredhitsCryoW"
v10,v10_06_00_01p01,v10_06_00_01p01,1anab::FeatureVectors,"1anab, FeatureVectors"
v10,v10_06_00_01p01,v10_06_00_01p01,1anab::FeatureVectors_NGMultiSliceCryoE,"1anab, FeatureVectors, NGMultiSliceCryoE"
